,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country
15123,2,1,2,2,3,5,2,2,4,2,2,1,5,4,5,1,2,2,4,4,1,4,18,1,60,CA
15124,4,2,3,2,5,4,4,4,4,2,4,3,5,4,3,2,4,1,2,4,3,4,21,1,90,US
15125,3,2,2,2,4,4,0,4,4,4,2,2,4,4,2,1,2,2,2,2,1,2,38,1,80,US
15126,2,3,2,2,2,4,2,3,4,1,2,1,1,4,4,2,2,3,3,4,4,2,23,1,75,US
15127,4,5,3,2,2,3,5,4,5,2,1,2,4,2,4,4,3,2,2,5,1,2,37,1,45,SE
15129,5,1,3,2,2,5,1,4,5,1,2,1,4,5,3,2,3,3,1,4,3,2,18,1,90,US
15130,2,1,2,1,1,1,1,4,5,1,4,2,2,1,4,2,4,5,2,4,1,2,19,1,100,US
15131,5,2,4,4,2,5,4,5,3,4,4,1,4,4,2,2,5,2,3,3,2,2,17,1,76,US
15132,4,1,2,2,4,5,1,4,3,1,4,1,5,5,4,1,4,1,3,5,1,2,21,1,40,FR
15135,3,1,2,2,2,4,4,2,2,3,2,2,2,3,3,4,5,2,4,4,4,2,21,1,80,IN
15138,4,4,2,1,2,2,5,1,4,2,2,1,2,5,4,2,5,2,2,5,2,1,22,1,100,GB
15139,4,2,2,1,2,4,3,4,2,2,4,2,4,4,2,2,2,2,2,4,4,2,26,1,75,US
15140,4,4,5,3,3,4,4,3,4,2,2,1,3,5,4,4,4,3,2,3,2,1,25,1,70,US
15141,4,4,4,2,2,5,4,2,5,1,2,2,4,4,4,1,1,2,1,5,1,1,20,1,70,SG
15142,3,1,2,2,2,4,2,1,4,1,1,2,4,5,4,3,2,1,1,4,1,1,19,1,80,NL
15143,5,4,5,5,5,5,5,5,5,5,5,2,4,5,4,5,4,4,4,3,1,2,20,1,73,GB
15144,4,3,4,3,4,5,4,4,4,4,3,2,2,5,4,2,2,2,4,4,4,3,28,1,60,US
15146,4,1,2,2,1,5,2,4,4,2,5,5,2,5,2,2,1,4,5,5,4,5,19,1,87,US
15147,4,2,2,4,4,4,3,4,3,3,5,4,4,4,5,4,5,4,3,4,4,4,22,1,70,IE
15148,5,1,2,1,2,5,5,2,5,1,1,1,4,5,4,5,3,3,3,5,1,1,15,1,96,GB
15149,4,3,3,4,5,4,2,4,1,1,4,3,4,4,3,1,2,3,4,5,5,3,33,1,100,CA
15150,3,5,4,2,1,4,4,4,4,1,1,1,1,4,1,1,1,2,1,4,2,1,28,1,70,FR
15151,4,2,2,3,3,4,2,4,4,3,3,2,3,3,3,2,3,4,2,2,1,3,19,1,80,GB
15152,5,2,2,2,4,4,4,4,4,4,4,3,4,4,2,2,5,4,4,4,2,4,21,1,92,US
15153,2,1,2,5,5,4,4,2,4,4,4,4,4,4,2,1,4,4,3,4,3,2,23,1,67,FI
15154,1,1,3,5,5,5,1,5,5,4,5,5,5,5,5,4,5,3,4,4,5,4,16,1,100,CA
15155,5,3,1,1,5,3,4,1,3,1,1,1,5,1,1,1,5,1,4,5,1,4,23,1,85,US
15156,4,5,5,2,2,3,5,4,4,2,4,4,4,5,5,4,4,4,2,4,4,4,18,1,90,GB
15157,4,4,5,2,2,4,2,4,5,4,2,1,2,4,4,4,3,3,1,5,0,1,18,1,85,US
15159,5,2,5,5,5,5,4,5,4,4,2,1,4,3,3,1,5,3,4,3,4,4,30,1,90,US
15160,5,2,2,5,5,5,2,5,5,4,5,5,5,5,5,5,5,2,5,5,4,5,18,1,95,US
15161,5,4,5,5,4,5,5,4,5,3,4,3,3,5,5,5,4,1,2,5,2,3,21,1,85,GB
15162,5,4,4,3,2,5,4,4,4,3,2,2,3,4,2,2,2,2,2,5,5,1,19,1,75,GB
15163,4,2,4,4,5,4,2,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,34,1,100,US
15164,3,1,2,1,4,5,2,3,5,2,4,5,4,5,5,5,5,2,4,5,4,4,21,1,70,US
15165,5,2,3,2,4,4,3,3,5,2,1,1,3,5,4,4,4,3,3,4,4,2,22,1,90,GB
15166,4,5,5,2,5,1,5,2,2,4,2,3,4,4,1,1,2,1,2,4,2,1,39,2,95,CA
15167,2,4,2,2,2,4,2,1,4,2,1,1,2,2,4,3,4,2,1,4,2,1,17,1,90,US
15168,4,3,3,2,5,4,4,3,5,2,2,1,2,4,4,4,4,2,2,4,2,2,29,1,95,US
15169,3,3,3,2,2,4,3,3,4,2,1,3,1,3,3,2,4,3,4,5,4,1,23,2,95,US
15170,4,2,2,2,3,5,1,4,4,4,4,5,5,5,4,2,5,4,4,2,4,4,26,1,80,US
15172,3,1,1,4,5,4,1,4,4,4,3,4,4,4,2,2,3,4,4,4,2,4,17,1,95,US
15173,5,1,1,1,4,5,3,4,2,1,4,2,5,4,4,4,5,4,4,5,5,4,20,1,100,US
15174,5,4,5,3,3,4,5,4,3,2,3,1,4,4,5,3,3,1,2,2,3,2,19,1,80,CA
15175,5,5,5,2,2,3,5,2,4,1,2,1,4,4,4,4,3,4,2,4,3,2,25,1,85,US
15176,3,2,2,1,2,4,2,3,4,2,1,2,2,4,3,2,1,1,1,2,1,1,21,1,88,US
15177,4,4,5,5,2,3,2,4,4,3,2,2,2,2,5,2,2,4,4,5,2,3,25,1,68,CA
15178,2,2,2,3,3,4,4,4,4,4,4,3,4,4,3,2,2,3,4,4,4,3,24,1,95,US
15179,4,5,5,3,4,4,5,2,5,2,1,1,1,5,5,5,4,2,2,4,5,2,19,1,85,AU
15181,4,2,2,2,4,4,2,2,2,2,3,4,4,4,3,2,2,2,3,4,3,4,22,1,75,US
15182,2,2,5,2,2,4,2,2,4,3,2,2,2,3,2,2,2,2,1,2,2,2,32,1,100,US
15183,5,2,0,2,2,4,4,4,5,2,4,1,3,4,4,4,4,3,3,5,2,3,13,1,96,GB
15185,4,1,4,4,4,4,4,4,2,4,4,2,4,5,4,4,4,3,2,4,3,3,19,1,80,DE
15186,2,3,2,2,4,3,4,4,2,4,4,4,4,4,2,2,3,4,4,4,3,4,20,0,80,CA
15188,3,1,2,2,5,3,1,4,2,3,4,4,4,4,4,2,2,2,4,5,4,3,19,1,70,CA
15189,5,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,1,1,1,4,20,1,60,CA
15192,4,1,4,2,2,4,1,3,3,2,3,1,2,4,4,2,4,1,5,3,4,2,24,1,90,US
15193,4,2,4,4,1,1,2,2,4,2,1,4,2,2,2,2,2,1,1,4,2,2,20,1,10,GB
15194,3,2,4,2,3,4,4,3,4,2,2,1,2,2,4,3,4,4,3,3,4,2,20,1,90,GB
15195,3,3,3,3,2,3,4,2,2,2,2,2,3,3,4,4,3,3,4,4,4,3,20,1,85,US
15196,2,2,5,2,4,5,3,1,4,2,2,2,2,4,4,2,3,4,1,4,1,2,20,1,90,GB
15197,3,2,2,3,4,5,2,3,2,1,2,1,1,4,4,3,3,1,2,3,1,1,27,1,85,US
15198,1,5,4,1,1,5,4,1,4,1,1,1,1,5,4,2,1,1,4,4,3,3,18,1,45,DE
15199,4,2,2,2,2,4,4,3,4,1,5,4,5,1,4,3,2,3,2,1,3,1,16,1,75,BR
15200,2,2,2,2,4,3,2,4,4,2,2,4,3,2,2,3,4,2,2,4,2,2,20,1,90,US
15201,4,4,4,1,4,4,4,5,5,2,5,5,5,4,4,4,5,2,2,3,4,5,23,1,85,GB
15202,5,1,5,2,3,5,2,4,4,2,2,4,4,5,4,4,3,2,4,5,2,3,18,1,70,GB
15203,3,3,2,2,4,4,2,2,4,2,1,4,5,3,3,2,1,2,3,3,2,1,23,1,85,DE
15204,2,1,1,4,4,3,3,1,2,1,1,1,1,3,4,3,4,2,2,4,2,3,15,1,75,US
15205,4,3,3,3,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,4,3,3,16,1,7,CA
15207,4,0,2,2,2,2,2,5,2,4,2,4,2,2,4,4,2,2,2,4,2,2,23,1,68,AU
15208,4,2,4,4,4,4,5,2,2,2,1,2,2,1,4,4,4,2,1,4,4,2,18,1,85,CA
15209,3,2,3,2,2,4,4,2,2,2,5,2,4,4,4,3,4,1,4,4,4,2,28,1,85,US
15210,2,2,2,2,1,3,3,2,4,1,0,2,4,2,4,4,4,2,2,5,4,4,21,1,85,US
15212,4,3,5,4,4,5,2,2,4,2,5,4,5,5,2,2,2,2,4,4,3,4,20,1,90,US
15213,4,4,4,1,3,4,4,3,5,2,4,4,2,5,5,4,4,4,2,2,4,2,25,1,88,US
15214,3,4,5,2,2,4,4,2,5,2,3,2,4,5,4,3,3,3,3,2,4,2,17,1,75,GB
15215,4,4,4,3,4,4,4,4,2,2,4,2,3,1,3,3,2,2,0,3,4,4,22,1,85,CA
15216,2,1,4,4,3,4,2,2,4,2,2,2,4,4,4,3,3,3,2,4,2,3,21,1,50,US
15218,2,2,2,1,2,4,4,2,2,2,2,1,2,2,4,3,2,2,2,2,2,2,34,1,80,GB
15219,5,5,5,2,4,5,5,5,5,1,2,4,5,5,5,5,5,5,4,5,4,4,17,1,85,US
15220,5,4,4,4,1,5,4,1,5,1,1,1,4,5,5,1,5,1,3,5,4,3,18,1,70,FR
15221,4,2,2,1,3,4,2,2,3,1,2,2,1,2,3,2,3,3,1,4,1,1,26,2,95,US
15222,3,2,2,2,2,3,3,2,2,3,2,2,2,3,5,4,5,2,3,4,3,2,18,1,70,DE
15223,4,3,4,3,2,5,2,2,4,3,4,5,3,3,4,4,2,4,4,5,4,4,19,1,90,GB
15224,2,1,2,4,4,5,2,4,5,4,5,1,4,5,5,4,4,5,3,4,3,3,18,1,85,US
15225,5,4,4,2,3,4,3,3,4,5,3,5,4,3,3,3,3,2,4,4,2,2,15,1,80,NL
15226,5,2,4,2,4,4,4,4,5,4,4,3,3,3,5,4,3,3,4,5,4,3,16,1,85,US
15227,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,3,21,1,78,DE
15228,5,4,4,2,4,5,4,4,3,2,4,2,5,5,4,4,4,4,5,5,3,4,22,1,70,GB
15229,2,2,1,4,2,3,2,2,4,3,4,1,2,3,5,4,3,2,2,4,2,2,17,1,88,SE
15230,3,2,4,2,2,2,3,4,5,2,2,1,4,4,4,4,3,3,3,4,2,3,25,1,60,US
15232,4,5,5,2,4,5,2,2,4,2,2,4,4,4,4,4,2,0,1,4,2,2,17,1,50,NL
15233,4,2,2,2,2,4,2,2,2,2,2,2,2,3,3,2,2,2,2,4,2,2,21,1,91,US
15234,5,5,5,1,3,5,4,5,5,1,1,1,4,5,4,4,3,2,3,4,1,1,19,1,80,IE
15235,5,4,5,1,1,5,3,2,5,1,1,1,1,5,4,3,1,1,1,5,1,1,28,1,75,US
15236,5,2,3,4,2,5,2,5,5,3,4,4,3,5,4,5,1,2,2,5,2,3,17,1,80,GB
15237,3,1,2,2,2,5,3,2,3,2,2,1,2,4,2,2,1,2,3,2,4,1,43,1,50,US
15238,3,3,3,2,3,3,4,2,4,2,2,2,2,4,3,2,2,2,3,0,4,2,36,1,90,GB
15239,5,4,5,3,3,4,4,4,5,2,2,3,2,4,5,3,4,3,2,4,4,2,22,1,70,US
15240,5,4,3,5,5,5,4,5,3,5,2,5,5,5,5,2,3,3,5,5,1,4,29,1,100,US
15241,1,2,3,4,5,5,4,5,4,5,5,2,5,5,1,1,3,2,4,3,1,3,15,1,85,US
15242,4,3,3,3,2,4,4,2,2,1,1,1,1,2,3,3,3,2,2,3,3,1,19,1,90,US
15243,2,2,5,1,2,4,2,3,5,2,3,2,2,2,4,2,2,2,1,4,2,2,16,1,85,CA
15244,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,90,US
15245,3,3,2,3,3,2,3,2,4,2,1,1,1,1,4,4,3,2,2,4,4,2,20,1,85,CA
15246,5,1,1,5,5,5,1,4,1,2,5,5,5,5,1,1,1,2,5,5,4,5,24,1,100,DE
15247,3,4,2,2,4,4,4,2,4,1,1,1,2,4,4,4,4,1,2,3,2,2,20,1,70,FI
15248,5,5,5,5,5,5,4,5,4,4,2,2,3,2,4,5,5,2,2,5,4,2,17,1,75,IE
15249,5,1,2,5,5,5,1,4,1,5,5,4,5,5,4,1,2,1,4,4,1,1,18,2,60,GB
15250,4,4,2,4,4,4,4,4,5,1,1,2,2,4,5,5,5,4,4,5,2,3,18,1,90,GB
15252,5,1,5,5,4,5,1,2,5,5,2,1,4,1,2,1,2,1,2,5,1,1,18,1,99,US
15253,5,5,2,5,5,4,5,5,4,5,5,4,5,4,5,5,1,4,4,5,5,3,19,1,90,DE
15254,3,4,2,2,2,4,4,2,4,2,2,1,1,3,4,4,2,2,1,4,2,2,17,1,85,CA
15255,4,5,5,2,3,4,5,3,5,2,2,2,2,5,5,5,4,4,3,5,5,2,20,1,75,NZ
15256,5,5,5,1,5,5,4,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,16,1,75,GB
15257,2,5,5,3,1,4,4,1,5,2,3,1,2,5,5,5,2,4,4,4,4,3,16,1,87,US
15258,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,21,1,87,GB
15261,3,4,3,2,3,4,2,2,3,1,2,2,2,2,3,3,2,1,4,4,2,2,19,2,90,US
15262,4,4,2,2,3,4,4,4,4,4,4,1,5,5,5,5,5,5,2,4,2,2,22,1,80,US
15264,4,1,2,3,4,4,2,3,2,2,2,4,2,3,2,2,2,2,2,4,4,2,16,1,70,CA
15265,3,2,2,3,3,4,3,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,18,1,50,AU
15267,1,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,21,1,100,GB
15268,2,2,1,0,3,4,2,1,4,1,2,2,3,3,3,4,3,1,1,2,2,1,19,1,65,SE
15269,2,1,4,2,3,3,2,2,4,1,1,2,2,3,3,2,4,2,1,4,4,2,15,1,80,GB
15270,4,1,2,5,5,4,5,1,3,5,5,5,5,5,5,4,2,4,5,5,4,4,26,1,90,US
15271,4,4,4,2,2,4,3,2,4,2,1,2,2,4,4,2,3,2,2,4,2,3,14,1,85,US
15272,5,1,5,3,1,4,4,3,4,1,5,2,4,5,5,5,4,5,2,4,2,3,21,1,90,GB
15273,4,4,5,4,4,5,4,3,4,4,3,4,4,5,5,5,5,3,4,5,5,3,27,1,100,US
15274,5,2,5,4,3,5,3,5,4,2,2,3,2,5,5,4,4,2,2,5,5,3,34,1,65,NZ
15275,4,1,1,2,4,4,1,3,5,1,4,2,4,5,4,4,4,2,4,4,5,3,18,1,85,GB
15276,4,5,5,1,4,4,4,3,5,4,2,2,2,5,4,2,3,4,2,4,2,2,18,1,95,GB
15277,4,4,1,4,1,4,2,1,4,2,1,2,1,2,5,4,4,4,1,0,5,3,22,1,85,GB
15278,5,4,4,4,2,5,2,3,4,4,4,1,1,4,4,4,3,3,3,5,4,2,17,1,65,NL
15280,2,2,1,4,2,2,1,2,5,1,4,1,3,5,5,5,5,3,4,5,5,2,21,1,100,GB
15281,4,4,4,4,3,5,4,4,5,2,4,4,3,5,5,5,3,4,4,5,5,2,14,2,75,GB
15282,3,2,2,2,4,4,3,3,5,2,3,4,4,4,4,3,4,4,5,4,3,4,19,1,70,CA
15284,3,1,5,3,3,3,2,3,5,1,2,3,2,4,2,0,3,4,4,4,4,3,18,1,50,US
15285,4,3,4,4,2,2,4,2,4,2,2,2,2,4,4,3,2,4,3,4,4,2,18,2,50,GB
15287,5,4,4,3,1,5,5,1,4,2,1,1,1,3,4,4,4,2,1,2,2,1,18,2,70,NZ
15289,5,1,5,2,5,4,4,5,4,2,1,1,4,5,5,1,3,1,4,1,4,3,20,1,85,US
15290,4,4,3,1,4,4,4,4,3,2,1,2,2,3,3,2,1,2,2,2,3,1,46,2,88,US
15291,4,2,4,4,3,3,2,4,4,4,2,0,2,4,4,3,3,2,3,4,4,2,23,1,80,US
15292,5,5,5,4,1,5,5,5,5,1,1,1,1,5,3,1,1,1,1,3,5,1,17,2,60,GB
15293,3,2,2,4,2,2,3,1,2,1,4,5,3,4,5,5,4,4,4,5,4,4,21,1,95,US
15294,2,2,4,4,4,4,2,2,4,2,2,2,4,4,0,4,2,2,2,4,4,2,18,1,80,GB
15295,1,4,2,5,2,1,4,1,1,1,1,1,1,4,4,4,1,1,1,3,1,1,13,1,100,US
15297,5,5,5,5,3,5,5,4,5,4,4,2,3,4,5,5,4,4,2,5,5,3,17,2,75,GB
15299,2,3,4,5,4,4,2,1,3,3,1,1,1,4,3,4,4,4,2,4,3,2,27,2,100,US
15300,3,1,3,1,2,5,4,3,5,1,3,4,3,4,4,3,2,4,5,5,4,2,20,1,85,US
15301,4,2,2,2,2,2,3,2,4,1,5,3,4,5,4,3,5,2,5,5,4,4,20,1,87,US
15302,4,4,5,2,3,4,4,4,5,3,3,4,4,5,4,4,2,3,3,4,2,3,19,1,60,CA
15303,5,4,4,4,5,5,5,4,4,1,2,4,3,5,5,3,5,1,3,4,3,4,0,0,80,US
15304,5,5,5,2,4,4,4,4,3,1,1,3,2,5,4,1,2,1,4,5,2,3,28,1,94,US
15305,4,1,2,4,5,5,1,4,4,4,5,4,5,5,4,4,4,4,5,4,2,4,33,1,100,US
15306,4,1,2,2,4,4,1,2,2,1,1,2,4,4,4,4,2,4,1,4,1,1,18,1,100,US
15307,5,4,4,4,2,4,4,2,4,1,2,2,4,4,4,4,4,2,4,4,4,4,18,2,90,US
15308,5,5,5,4,5,5,4,4,5,5,2,5,5,5,4,3,3,3,4,4,4,1,19,1,96,US
15309,3,2,3,4,5,5,4,4,4,5,1,4,5,4,2,2,2,1,3,5,4,3,23,2,77,US
15310,5,5,5,5,5,5,5,5,5,4,3,4,3,5,3,1,5,5,4,5,3,3,16,1,95,CA
15311,2,2,2,1,2,2,2,3,4,1,2,0,2,4,3,1,1,3,1,4,4,1,41,2,98,US
15312,2,2,4,1,4,2,2,2,2,2,1,2,3,4,4,2,2,2,1,3,4,1,36,1,75,CA
15313,3,4,4,2,1,3,4,2,2,2,1,1,2,3,4,4,3,2,3,4,5,1,23,2,50,US
15314,5,4,5,5,4,5,5,5,5,3,5,5,5,5,5,2,4,5,4,5,5,4,27,2,85,US
15315,4,4,4,2,2,3,4,3,5,2,1,1,4,4,3,4,2,2,4,4,2,2,19,2,4,CA
15317,3,4,4,2,3,2,3,2,4,1,4,1,1,2,2,2,2,1,2,4,2,1,26,1,99,US
15318,4,4,4,2,3,3,3,4,4,2,2,2,2,3,2,3,2,2,2,2,3,2,58,1,85,US
15319,1,1,1,1,5,1,1,1,1,1,1,1,2,0,1,3,1,1,1,3,2,2,50,1,100,US
15321,1,1,1,2,1,3,1,1,3,1,4,4,4,3,5,2,1,3,4,4,1,3,14,2,70,US
15322,5,1,3,2,3,5,1,3,5,5,3,1,5,5,4,3,5,1,4,5,3,2,20,2,99,US
15323,3,2,3,2,1,3,4,2,3,2,2,1,1,2,4,3,1,2,2,2,3,2,43,2,90,US
15324,4,2,5,4,3,5,2,4,2,4,4,2,3,2,4,1,2,2,2,3,2,2,24,1,90,US
15326,4,3,1,4,2,4,3,2,4,1,2,4,2,3,4,5,2,4,4,4,4,3,23,2,80,US
15327,2,3,2,2,3,3,4,2,4,1,2,3,3,4,4,4,4,3,2,4,2,1,27,1,85,US
15328,4,1,4,5,3,5,4,5,5,4,4,4,5,5,5,3,4,4,4,5,3,4,13,2,100,US
15329,4,2,4,1,1,2,2,2,1,1,3,5,3,3,3,3,4,3,1,4,3,3,31,1,75,US
15331,1,2,2,5,4,4,3,3,2,2,2,2,4,5,2,2,3,2,2,3,3,2,29,1,75,US
15332,5,3,2,5,5,5,5,5,5,5,5,5,5,4,3,5,3,3,5,5,1,5,30,1,90,NL
15334,3,2,3,2,4,3,3,2,2,2,2,2,2,4,3,4,4,1,2,1,4,2,65,2,99,US
15335,4,1,4,2,1,3,1,4,5,2,5,5,5,5,5,5,2,4,4,5,2,2,15,1,60,CA
15336,4,2,2,4,2,5,2,5,2,2,4,4,3,4,3,3,4,2,5,5,5,3,16,2,66,US
15337,3,4,5,2,3,4,4,1,4,1,1,2,1,1,4,5,3,2,1,4,1,1,15,2,96,CA
15339,4,1,4,0,4,5,2,4,2,4,4,1,5,5,4,4,5,1,5,5,4,4,29,1,90,US
15340,2,3,2,1,4,4,2,2,2,2,5,2,4,3,3,2,1,2,3,4,2,1,24,1,95,AU
15341,4,1,4,5,5,5,1,5,2,4,5,5,5,5,5,5,5,4,4,5,4,5,22,1,80,US
15343,4,4,2,2,2,4,4,4,3,2,2,2,4,4,4,3,3,3,4,4,4,4,41,1,90,GB
15344,5,3,4,4,4,5,1,4,4,3,4,3,4,4,2,1,3,3,3,4,2,3,24,1,60,US
15345,3,1,2,3,4,3,2,3,1,3,5,4,5,5,2,2,2,2,5,5,5,4,22,2,95,US
15346,4,1,1,2,4,3,2,4,3,4,4,5,5,3,2,2,2,2,5,4,4,5,19,1,80,NL
15348,1,4,1,1,2,2,3,1,3,1,1,1,1,1,3,3,2,1,1,1,1,1,27,1,80,US
15349,4,1,2,2,1,4,3,5,4,2,2,1,4,3,4,4,4,4,4,2,4,3,25,2,70,CA
15350,4,3,3,2,3,4,3,4,4,2,3,1,3,4,5,4,4,4,3,4,4,2,39,2,80,US
15351,5,5,5,4,4,5,5,5,4,5,4,4,4,4,5,4,5,4,4,4,4,4,24,2,90,US
15352,5,4,1,5,4,4,5,5,4,5,5,5,5,5,5,4,4,1,4,5,5,4,17,2,90,GB
15354,4,2,4,5,5,3,3,4,3,5,4,4,4,5,2,2,3,3,3,4,3,4,21,1,100,US
15355,3,4,5,4,4,2,4,2,4,1,3,3,3,4,5,3,4,4,2,5,2,2,26,1,72,US
15356,4,2,2,4,2,4,4,4,4,1,1,1,4,3,4,4,4,4,4,4,4,2,18,2,78,GB
15357,5,5,5,2,3,5,5,4,4,3,4,3,4,5,5,3,4,2,3,4,3,4,18,2,80,US
15358,5,1,4,4,3,5,3,4,4,4,5,4,4,5,4,4,3,3,4,4,4,3,17,2,97,US
15359,3,2,2,2,4,3,2,4,2,2,3,3,2,5,2,3,4,3,5,5,5,4,50,1,90,US
15360,4,3,4,2,3,2,4,2,2,2,2,2,1,0,4,3,2,2,2,4,1,1,23,2,90,GB
15362,5,2,5,3,2,5,5,5,5,5,4,2,4,5,5,3,5,3,3,4,2,3,16,1,60,CA
15363,5,4,4,2,3,5,4,2,3,5,3,5,5,4,1,4,4,2,4,5,4,4,16,1,79,CA
15364,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,1,70,CA
15365,2,5,2,2,2,4,4,3,4,2,1,1,1,4,5,4,3,2,1,2,4,1,31,2,95,NL
15366,4,1,2,2,4,3,4,5,3,4,3,3,4,5,4,2,3,3,2,4,2,3,36,1,75,US
15367,5,3,3,3,2,5,3,1,4,3,2,1,1,1,4,3,3,3,1,4,3,1,16,1,95,CA
15368,4,3,3,2,5,5,2,3,5,3,1,1,4,4,3,3,3,1,3,4,3,2,26,1,92,US
15369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,80,CA
15370,4,4,2,2,2,5,5,2,5,2,2,1,3,5,5,4,3,3,5,5,4,4,28,1,85,DE
15371,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,100,CA
15372,3,5,5,2,2,4,5,1,4,2,1,1,2,4,4,3,2,3,2,1,2,1,29,2,6,GB
15373,4,4,4,1,2,3,4,4,1,1,4,3,2,4,4,1,2,1,1,4,2,2,30,2,95,US
15374,5,4,4,4,4,4,4,3,4,3,2,4,1,5,4,3,3,4,4,4,2,4,19,2,75,GB
15375,5,4,4,1,2,5,4,4,5,2,1,1,2,3,4,4,3,1,3,4,5,2,24,1,85,US
15376,3,4,2,1,2,3,3,1,4,1,1,1,2,3,2,2,1,2,3,3,3,1,55,2,95,CA
15378,5,2,2,2,4,4,4,2,4,2,4,3,4,2,4,4,4,4,4,4,4,3,17,2,90,GB
15379,5,5,5,1,2,5,5,2,2,1,1,1,2,4,5,4,2,2,1,2,4,1,31,2,80,AU
15380,3,2,4,2,4,4,3,2,5,1,1,1,2,1,3,2,2,3,2,2,1,1,17,1,85,BR
15381,2,2,1,2,4,4,2,1,3,1,1,2,3,2,3,3,3,1,2,4,1,1,12,2,75,US
15382,5,1,4,5,3,5,4,5,4,3,4,5,5,5,5,3,5,2,5,5,5,5,18,1,95,GB
15383,5,2,2,4,4,5,2,4,4,4,2,2,2,4,4,3,4,2,4,4,5,2,24,1,95,US
15384,5,5,5,5,5,5,5,5,5,4,4,3,4,4,3,2,3,2,3,3,3,2,16,2,95,US
15385,4,5,5,2,1,4,4,1,4,2,1,2,1,5,3,2,1,2,1,3,3,1,31,2,70,US
15386,3,2,3,1,3,5,4,1,4,1,1,1,1,2,4,4,2,2,1,2,4,1,59,1,90,US
15387,4,4,2,2,2,4,4,4,3,2,1,2,2,5,4,2,2,2,4,5,4,2,49,2,90,AU
15388,3,1,4,1,3,4,1,2,1,2,4,4,5,5,1,1,3,1,3,4,1,3,14,1,75,CA
15389,2,3,3,2,4,4,3,2,2,3,2,2,4,5,2,3,4,2,2,3,4,2,29,1,75,US
15390,2,1,5,5,0,5,3,5,1,5,3,4,3,4,3,3,2,3,5,5,4,4,13,2,100,GB
15391,4,4,2,4,2,2,4,4,4,2,2,2,2,4,5,5,2,2,4,4,4,2,19,2,70,GB
15392,4,1,4,3,5,5,2,4,5,3,3,4,4,3,5,4,4,3,4,5,5,3,14,2,90,US
15393,4,5,5,3,3,5,5,4,5,3,4,5,3,4,5,4,4,3,4,5,4,4,23,2,99,US
15394,2,1,3,0,4,4,2,1,4,4,4,3,1,3,4,3,1,2,2,4,2,2,25,1,70,FR
15395,5,2,5,2,1,5,4,2,5,2,5,5,4,5,5,5,5,5,5,5,5,5,15,1,100,PH
15396,3,3,4,3,3,3,2,2,4,3,3,3,3,4,3,4,4,3,4,4,3,3,13,1,70,US
15397,4,4,4,2,4,5,4,3,4,4,4,4,4,4,4,2,4,2,2,4,4,2,12,1,95,US
15398,5,5,5,2,4,4,5,4,5,4,4,1,5,4,1,1,1,4,4,5,1,1,15,2,85,GB
15399,5,3,5,3,4,5,4,3,5,3,3,4,4,3,4,2,3,3,5,5,5,5,18,2,95,US
15400,2,4,4,2,2,3,4,2,3,2,1,1,2,2,3,4,3,2,1,4,2,2,55,2,90,US
15401,4,1,1,4,3,4,2,2,3,4,5,5,4,5,1,1,1,1,4,5,5,2,16,2,100,US
15402,4,4,4,2,2,4,4,3,4,2,1,1,2,3,5,5,4,3,4,4,4,2,57,2,100,US
15403,3,2,2,1,4,4,4,1,5,1,1,2,2,2,2,2,2,1,1,4,2,2,16,2,92,US
15404,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,24,1,100,IE
15406,5,1,1,5,5,5,1,4,5,2,5,5,1,5,5,4,5,5,5,5,5,5,19,1,100,DE
15408,5,1,1,4,3,5,2,4,4,3,4,5,4,5,4,4,5,4,5,5,5,5,20,1,95,DE
15409,3,4,4,3,2,5,4,3,4,1,2,2,2,3,3,3,2,3,3,4,4,2,20,2,99,US
15411,5,3,5,4,5,5,5,5,5,5,4,4,3,5,4,1,3,3,5,5,1,4,16,1,90,CA
15412,1,2,3,3,3,3,4,2,4,4,4,3,3,3,4,2,4,2,4,4,4,4,19,1,100,US
15413,1,5,1,2,1,5,4,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,38,3,100,CA
