,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country,HSNScale
88,5,1,3,4,5,5,3,5,5,1,5,5,5,5,5,3,5,5,5,5,3,5,27,1,95,US,0.72
89,4,5,5,5,2,5,1,2,5,3,3,3,2,3,5,1,3,4,1,4,1,1,15,1,95,AU,0.68
90,4,3,4,2,3,4,3,4,3,2,4,3,4,4,2,1,2,2,3,4,2,3,24,1,100,US,0.6
91,4,4,5,3,4,4,4,4,5,4,4,3,2,4,4,2,4,4,4,4,2,3,17,2,75,HR,0.74
92,4,4,4,3,4,0,5,4,2,2,4,3,5,5,4,3,3,5,4,5,3,4,32,2,90,MY,0.6
93,5,4,4,2,3,5,4,4,5,3,1,5,4,5,1,1,2,2,3,5,3,1,29,1,85,US,0.72
94,4,3,2,3,4,4,3,4,4,4,3,5,3,4,4,4,3,3,4,4,4,3,40,2,70,AU,0.62
95,5,5,5,4,4,5,0,5,4,5,4,4,5,5,4,4,5,3,5,4,5,4,17,1,100,US,0.74
96,5,5,5,5,4,4,5,5,5,4,4,3,4,4,5,5,4,5,5,5,5,4,13,2,76,US,0.86
97,3,2,2,2,4,3,3,2,3,2,1,2,3,4,4,4,3,2,4,1,4,3,59,1,85,IT,0.48
98,5,2,4,4,5,5,3,4,5,4,5,5,4,5,4,3,5,4,4,5,3,4,20,1,90,US,0.74
99,4,4,5,2,3,5,2,2,4,2,2,1,1,5,3,2,2,2,2,1,2,1,37,1,90,US,0.62
100,4,4,2,2,2,3,4,2,3,2,2,1,1,3,3,3,2,3,2,2,2,2,53,2,90,US,0.52
101,1,1,4,3,3,5,1,3,3,3,3,3,3,4,1,1,1,1,4,4,3,4,19,1,90,US,0.48
102,5,5,5,5,4,5,5,4,5,4,3,3,3,5,4,4,3,4,3,4,4,2,37,2,90,DE,0.86
103,5,2,4,5,5,4,3,4,5,4,4,5,4,5,5,4,4,4,4,4,4,4,20,1,95,US,0.74
104,2,1,2,2,4,3,3,3,2,4,4,2,4,5,2,1,3,1,2,4,2,1,21,1,90,US,0.44
105,5,5,5,4,5,5,5,5,5,3,5,5,2,5,5,5,3,5,4,5,3,4,37,1,95,IL,0.88
106,4,2,4,2,4,4,3,4,2,2,2,1,4,4,4,3,3,2,2,4,2,2,23,2,95,US,0.58
107,5,5,5,5,5,5,5,5,5,3,4,1,4,5,5,5,5,3,4,4,3,1,18,2,70,US,0.9
108,2,2,3,1,2,3,4,2,4,1,1,1,2,3,4,3,2,4,2,4,2,2,19,2,83,US,0.46
109,4,3,4,5,4,3,4,2,4,4,2,1,3,3,0,3,4,4,2,4,2,3,15,1,90,US,0.66
110,2,4,3,2,3,3,4,2,4,2,1,2,2,3,4,3,2,2,4,4,4,2,24,2,100,US,0.54
111,5,4,4,4,4,5,4,4,4,4,5,5,5,4,2,2,3,3,5,5,5,3,13,2,85,US,0.76
112,5,1,3,4,5,4,3,4,5,3,5,4,4,4,4,4,3,4,4,4,4,4,34,1,90,GR,0.68
113,4,1,1,5,5,5,3,4,3,5,3,5,4,5,2,2,3,3,4,5,4,2,37,2,100,US,0.62
114,4,2,3,1,4,4,3,2,4,3,4,3,3,4,2,4,2,4,3,4,4,1,49,2,60,US,0.54
115,5,5,5,3,3,2,4,5,3,2,1,3,2,5,5,3,5,1,3,5,5,3,48,1,100,US,0.7
116,5,5,4,4,5,5,4,4,5,4,3,3,2,4,4,5,2,3,4,5,4,2,28,2,85,US,0.82
117,5,5,5,1,2,4,5,5,5,1,1,2,1,4,3,5,1,1,2,2,1,1,43,2,90,US,0.74
118,3,3,4,3,2,4,4,3,4,3,3,3,3,3,5,4,4,4,4,4,4,2,17,2,75,US,0.6
119,5,4,5,5,2,5,4,4,5,1,5,4,3,5,5,5,4,4,5,5,4,4,16,2,100,US,0.78
120,4,4,4,3,3,4,4,3,4,2,2,2,3,4,5,4,4,2,2,3,2,2,19,2,90,US,0.66
121,4,3,5,5,4,5,4,3,3,2,2,1,4,4,5,3,4,1,4,4,1,3,23,1,80,PK,0.72
122,5,2,3,4,4,4,4,5,5,5,3,3,4,2,4,3,3,2,4,5,4,3,15,2,97,CA,0.72
123,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,13,1,100,US,0.66
124,3,4,4,2,3,5,5,5,1,3,5,4,5,5,2,2,1,2,4,5,3,4,18,2,97,US,0.64
125,5,1,4,2,5,5,3,5,4,5,5,4,5,5,4,4,4,0,5,5,4,4,19,1,95,NO,0.68
126,5,2,3,2,3,3,3,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,22,1,85,DK,0.58
127,4,1,1,4,2,4,2,4,5,3,1,1,4,5,4,3,3,2,3,1,4,1,33,2,60,SG,0.54
128,3,1,5,4,5,5,1,5,3,5,5,5,5,4,3,4,4,3,5,5,3,5,19,1,100,BA,0.64
